Nome_Piatto,Calorie_kcal,Carboidrati_g,Zuccheri_g,Grassi_g,Grassi Saturi_g,Fibre_g,Colesterolo_mg,Sodio_mg
Brownies,902.0,87.9,70.7,55.3,22.25,3.1,180.0,253.0
Tortino di cioccolato con cuore fondente,,,,,,,,
Banana bread,432.0,58.9,31.5,18.7,10.45,2.2,118.0,225.0
Pasta e zucchine,369.0,69.1,4.9,5.5,0.81,4.4,0.0,301.0
Crema al caffe,,,,,,,,
Pancake allo sciroppo d'acero,263.0,35.1,8.4,9.6,5.06,0.9,117.0,63.0
Tiramisu,544.0,42.2,30.5,35.8,19.49,1.4,259.0,151.0
Spaghetti alla Carbonara,680.0,66.9,2.9,37.2,13.57,2.2,383.0,586.0
Crepe dolci e salate (ricetta base),196.0,27.3,3.5,6.2,3.19,0.8,83.0,56.0
Pasta per la pizza,1031.0,184.4,4.1,19.5,2.95,6.3,0.0,1966.0
New York Cheesecake,547.0,39.2,19.7,39.2,22.78,1.2,188.0,299.0
Parmigiana di melanzane,562.0,10.4,10.4,47.9,16.26,6.7,46.0,918.0
Insalata di riso,660.0,67.4,5.5,25.9,9.98,3.6,82.0,1238.0
Spaghetti alle vongole,420.0,67.8,3.9,9.4,1.31,3.0,31.0,500.0
Spaghetti all'Amatriciana,721.0,69.6,5.6,40.1,13.39,3.0,57.0,702.0
Crepe alla Nutella,285.0,38.7,14.8,10.5,4.37,1.0,81.0,64.0
Panna cotta,351.0,26.0,26.0,25.9,15.05,0.0,85.0,50.0
Pesto alla Genovese,,,,,,,,
Torta tenerina,395.0,45.2,40.4,21.3,12.01,0.5,133.0,42.0
Straccetti di pollo,333.0,6.0,0.3,14.0,2.26,0.6,105.0,355.0
Melanzane arrostite,240.0,5.5,5.5,16.9,7.62,4.1,33.0,787.0
Spiedini marinati all'ananas,188.0,6.1,5.9,9.8,4.62,1.0,57.0,254.0
Polpette di carne,455.0,15.1,0.8,36.2,7.44,1.1,98.0,377.0
Tatin di pomodori e feta,,,,,,,,
Polpette fritte rustiche,905.0,27.6,0.9,72.2,20.7,1.6,178.0,1060.0
Involtini di peperoni al forno,181.0,22.3,11.0,7.0,1.94,3.6,9.0,764.0
Crostata di patate,224.0,15.8,1.1,12.2,5.79,1.4,74.0,530.0
Pollo con anacardi,445.0,20.1,2.1,19.8,1.85,2.6,105.0,638.0
Salsiccia e patate al forno,602.0,22.2,3.8,47.2,13.87,2.8,77.0,1677.0
Filetto in crosta,537.0,18.9,0.8,32.8,12.53,3.8,198.0,1156.0
Seppioline con carciofi,256.0,4.6,4.0,15.7,5.35,6.4,83.0,552.0
Crocchette di ceci e gamberi,143.0,9.1,1.5,9.1,1.97,1.5,71.0,297.0
Teglia di baccala alla napoletana,446.0,15.7,6.0,25.3,3.26,3.2,83.0,3695.0
Pollo alla siciliana,497.0,4.0,4.0,31.7,7.91,1.1,179.0,739.0
Sarde a beccafico,390.0,24.2,15.0,17.8,3.16,1.8,90.0,495.0
Rotolini di pollo ripieni,254.0,0.8,0.8,15.4,5.16,0.2,84.0,773.0
Uova al pomodoro,188.0,4.5,4.5,15.1,3.24,2.0,204.0,376.0
Uova alla contadina,,,,,,,,
Frittata di patate al forno,357.0,24.8,1.5,21.2,6.37,2.4,289.0,567.0
Petto di pollo ai corn flakes,669.0,24.7,5.2,49.8,11.28,1.7,119.0,293.0
Scaloppine al vino bianco e prezzemolo,285.0,9.8,0.5,17.1,9.79,0.5,107.0,423.0
Branzino (spigola) alle erbe in crosta di sale,,,,,,,,
Filetto di maiale con salsa al vino,459.0,9.5,9.5,33.3,15.31,2.1,123.0,272.0
Orata all'acqua pazza,229.0,4.0,4.0,9.5,1.85,1.3,89.0,417.0
Burger di patate,357.0,39.8,7.6,16.3,5.32,4.4,64.0,550.0
Pollo rustico con patate,568.0,38.0,3.1,21.9,6.55,4.3,171.0,603.0
Coniglio al forno,563.0,32.0,3.8,28.2,6.39,3.7,104.0,579.0
Frico con patate e cipolle,753.0,25.6,3.6,54.1,25.65,2.8,125.0,1255.0
Orata in padella,232.0,6.1,6.1,9.4,1.54,2.0,94.0,139.0
Frittata al forno con ricotta e spinaci,520.0,18.9,6.3,36.0,16.87,4.0,338.0,826.0
Sogliola alla mugnaia,479.0,14.1,4.6,30.4,16.16,0.7,131.0,563.0
Filetto di merluzzo in padella,342.0,10.4,0.9,21.3,10.49,0.6,123.0,400.0
Petto di pollo all’arancia,379.0,17.3,9.7,18.1,4.65,1.7,87.0,344.0
Gamberoni al forno,236.0,4.4,4.4,15.9,2.31,0.5,203.0,496.0
Straccetti di manzo,301.0,6.6,0.9,14.1,4.14,0.7,99.0,464.0
Coniglio alla Ligure,428.0,7.1,7.1,17.9,4.2,1.0,74.0,523.0
Bombette pugliesi,538.0,1.3,1.3,37.9,15.2,0.5,169.0,834.0
Pollo al latte di cocco e curry,306.0,11.8,4.3,6.2,1.09,1.7,121.0,403.0
Patate al forno ripiene,380.0,39.1,1.2,17.2,5.81,3.5,38.0,363.0
Frittata al forno,,,,,,,,
Involtini di vitello con prosciutto e formaggio,365.0,0.6,0.6,21.5,7.1,0.1,146.0,470.0
Costine al forno,505.0,32.0,1.6,23.2,6.72,3.3,166.0,487.0
Costoletta alla milanese,1387.0,78.0,4.2,92.8,51.97,4.5,594.0,1035.0
Pollo alla crema,527.0,10.9,5.5,33.6,17.02,2.7,175.0,718.0
Gulash Ungherese,447.0,22.9,7.9,16.7,3.93,4.7,134.0,1931.0
Gamberoni al guazzetto,183.0,5.9,5.8,8.6,1.25,1.4,132.0,435.0
Cotoletta alla palermitana,364.0,25.4,1.0,16.1,3.51,1.4,68.0,718.0
Arrosto di vitello al forno con patate,445.0,38.2,1.7,15.0,2.8,3.7,90.0,372.0
Moscardini in umido,297.0,9.4,9.3,9.7,3.24,3.2,192.0,761.0
Torta Pasqualina,664.0,66.2,5.0,27.9,12.1,5.7,327.0,710.0
Straccetti di pollo alla sorrentina,295.0,2.9,2.9,15.1,5.25,1.3,92.0,419.0
Fritto misto di pesce,1015.0,52.1,4.9,59.7,9.65,2.2,290.0,934.0
Branzino al forno,,,,,,,,
Calamari in umido,280.0,7.4,7.4,16.3,3.33,2.3,104.0,616.0
Tagliata di manzo con rucola e pomodorini,,,,,,,,
Pollo arrosto,,,,,,,,
Scaloppine di vitello alla pizzaiola,559.0,23.8,4.8,28.2,15.97,2.3,214.0,529.0
Costine glassate con salsa bbq,,,,,,,,
Frittata con le cipolle,179.0,5.8,5.8,12.7,3.28,1.3,279.0,408.0
Filetti di salmone alla mediterranea,357.0,4.7,4.7,24.7,5.43,1.9,53.0,473.0
Parmigiana di melanzane grigliate,249.0,9.2,9.2,16.0,8.08,5.6,41.0,623.0
Involtini di pesce spada,175.0,10.8,3.3,10.3,1.75,1.5,31.0,689.0
Rosti,,,,,,,,
Tonno in crosta di pistacchi,413.0,7.1,2.8,26.4,6.92,3.3,105.0,419.0
Tortilla de patatas,551.0,23.2,7.6,45.4,8.27,2.8,324.0,457.0
Filetti di merluzzo al forno,236.0,11.4,2.0,12.6,1.76,3.2,50.0,469.0
Zucchine ripiene vegetariane,144.0,12.0,4.0,7.7,2.78,2.1,14.0,346.0
Frittata di patate,252.0,13.3,0.3,16.2,5.7,1.4,198.0,358.0
Frittata di zucchine al forno,269.0,3.2,3.1,18.5,8.0,1.8,397.0,608.0
Roast-beef all'inglese,720.0,23.9,3.0,44.6,12.28,4.1,173.0,3027.0
Fegato alla veneziana,334.0,10.0,10.0,21.3,5.43,1.1,248.0,399.0
Polpette di ricotta col sugo,520.0,32.0,9.6,32.6,13.6,3.5,175.0,984.0
Polpo alla Luciana,338.0,38.9,6.3,11.1,1.99,3.8,99.0,1027.0
Quiche con verdure e pancetta,326.0,17.0,4.4,23.1,11.14,1.9,136.0,656.0
Pesce spada alla siciliana,381.0,6.4,6.4,27.4,4.72,3.1,98.0,734.0
Polpettone al forno,852.0,37.5,2.9,59.0,21.18,2.5,201.0,1510.0
Zucca allo zenzero,183.0,19.0,15.2,9.8,1.29,3.3,0.0,752.0
Insalata con avocado,262.0,3.9,3.0,25.4,3.27,3.2,0.0,309.0
Patate americane con cheddar e bacon,815.0,90.6,25.6,38.9,15.11,10.3,78.0,1758.0
Insalata di arance,215.0,20.3,20.3,13.9,2.0,5.4,0.0,317.0
Finocchi in padella,54.0,2.6,2.6,3.9,0.6,3.5,0.0,483.0
Pleurotus alla griglia,150.0,4.7,3.3,12.8,1.9,3.3,0.0,305.0
Spinaci sfiziosi,246.0,14.1,5.1,17.6,6.58,2.9,27.0,654.0
Friggitelli in padella,87.0,5.8,5.8,6.6,0.96,2.6,0.0,295.0
Carciofi in padella,,,,,,,,
Peperoni al forno coi capperi,141.0,13.7,9.0,8.3,1.24,4.2,0.0,427.0
Insalata di patate al verde,220.0,28.9,1.4,9.5,1.48,3.2,5.0,90.0
Cipolline all'uvetta,169.0,19.5,19.5,8.6,4.93,2.5,25.0,1206.0
Cavoletti di Bruxelles gratinati,,,,,,,,
Insalata di castagne,191.0,16.8,4.9,10.9,3.66,3.1,18.0,131.0
Strudel di pane ripieno di salsiccia e teglia di funghi saporiti,319.0,26.9,1.9,16.9,5.68,4.7,29.0,901.0
Cime di rapa con pomodori secchi e acciughe,,,,,,,,
Sformato di cavolfiori e radicchio,,,,,,,,
Sformatini di cardi,192.0,3.3,3.1,14.1,5.73,2.3,158.0,589.0
Radicchio alla piastra con pancetta e pepe rosa,310.0,3.4,3.4,28.3,6.4,5.0,33.0,937.0
Pasticcio di zucca,466.0,15.0,12.5,34.9,18.11,1.7,109.0,1180.0
Insalata con mele e cavoli,,,,,,,,
Insalata di cachi rucola e finocchi,,,,,,,,
Stelline di patate,,,,,,,,
Grigliata di zucca e porcini,365.0,9.0,7.4,30.0,11.36,3.3,51.0,800.0
Patate arrosto con mele arance e Grana Padano,185.0,30.5,6.3,4.1,1.86,3.4,10.0,276.0
Funghi gratinati al forno,,,,,,,,
Spinaci in padella,,,,,,,,
Carciofi affogati alla napoletana,,,,,,,,
Insalata di mele e spinacini,,,,,,,,
Cavoletti di Bruxelles brasati alla birra,,,,,,,,
Pure di zucca,,,,,,,,
Carotine al miele,141.0,13.2,13.2,8.7,1.1,5.2,0.0,433.0
Involtini di cavolo alla zucca,,,,,,,,
Zucca in padella con cipolle e olive,,,,,,,,
Zucca gratinata con scaglie di ricotta affumicata,200.0,8.7,6.6,16.8,3.19,1.5,6.0,209.0
Insalata di cachi e melagrana,184.0,21.1,18.9,8.5,2.28,4.0,9.0,53.0
Patate al microonde,,,,,,,,
Patate apparecchiate,567.0,31.9,5.6,47.1,6.86,4.4,0.0,578.0
Cipolline al forno,,,,,,,,
Pure di sedano rapa alla panna,,,,,,,,
Coppette con insalata di rucola barbabietole noci e ravanelli,304.0,19.7,1.5,23.4,7.11,1.9,6.0,449.0
Carciofi pastellati e fritti,,,,,,,,
Cavoletti di Bruxelles con gorgonzola e noci,404.0,9.5,4.4,33.1,11.36,6.0,54.0,348.0
Patatine novelle al vino rosso,282.0,29.3,2.0,12.8,7.45,3.5,37.0,538.0
Barbabietole agrodolci al finocchietto,178.0,17.3,17.3,8.2,1.17,3.1,0.0,89.0
Funghi e radicchio in padella,114.0,2.9,2.5,7.2,1.12,9.1,0.0,506.0
Cardi in umido,247.0,7.7,7.4,17.4,5.58,5.1,32.0,838.0
Verdure stufate alle spezie,,,,,,,,
Carciofi fritti alla senape,,,,,,,,
Broccoli in padella,,,,,,,,
Pure di fagioli con speck croccante,401.0,39.4,3.6,15.9,3.09,13.1,23.0,884.0
Stoemp belga alle carote,323.0,27.8,6.7,20.1,9.78,4.3,56.0,887.0
Carote arrosto con pistacchi,,,,,,,,
Rosti di zucchine e patate con fonduta al Grana Padano,240.0,15.4,3.6,13.7,6.74,2.0,38.0,573.0
Carote agrodolci,404.0,9.6,9.6,40.0,5.79,3.1,0.0,294.0
Cipolle ripiene al tartufo,,,,,,,,
Sformato di patate e funghi,,,,,,,,
Olive schiacciate,189.0,1.4,1.4,20.0,2.84,4.4,0.0,352.0
Patate filanti,489.0,39.2,2.6,26.7,11.43,3.6,71.0,615.0
Carciofi sott'olio,69.0,2.6,1.1,5.7,0.67,3.3,0.0,1053.0
Cardi gratinati,265.0,15.1,7.2,19.2,11.21,3.2,58.0,770.0
Porri grigliati,180.0,12.0,12.0,12.5,1.82,7.1,0.0,317.0
Insalata invernale,512.0,16.5,15.1,41.5,10.68,7.0,44.0,758.0
Funghi e patate,,,,,,,,
Pure di patate e lenticchie,,,,,,,,
Rape glassate al miele e spezie,203.0,36.8,36.4,5.4,0.79,3.5,0.0,556.0
Verza alla salentina,124.0,5.1,5.1,10.2,1.47,3.9,0.0,29.0
Spinaci ricchi con besciamella,,,,,,,,
Pommes Anna,213.0,25.1,0.8,11.1,5.95,2.3,29.0,338.0
Zucca in agrodolce alla siciliana,429.0,17.6,13.8,37.9,5.61,2.2,0.0,302.0
Rosticciata (grostl) ai finferli con speck,224.0,19.3,1.7,11.7,2.42,4.8,22.0,1078.0
Insalata di kiwi,267.0,23.0,16.6,15.1,5.64,4.9,23.0,579.0
Cavolfiore alla catalana,278.0,8.5,8.0,22.8,3.83,4.9,101.0,582.0
Scarola imbottita,431.0,24.4,15.0,32.4,5.82,5.1,11.0,810.0
Pure goloso,463.0,23.2,2.1,30.0,16.51,2.1,86.0,715.0
Patate raganate,211.0,36.6,6.1,4.5,1.22,4.3,3.0,358.0
Colcannon,,,,,,,,
Zucca e patate al forno,220.0,34.8,3.8,6.8,1.1,3.5,0.0,308.0
Zucca ripiena,528.0,7.0,6.8,39.3,13.07,2.9,186.0,1305.0
Cotolette di pleurotus,702.0,19.7,0.8,65.7,13.15,5.5,102.0,431.0
Asparagi allo zabaione salato,,,,,,,,
Ciaudedda,347.0,29.5,4.9,19.2,6.3,15.4,25.0,729.0
Carote alla senape,,,,,,,,
Melanzane e patate alle mandorle,421.0,26.6,5.5,31.6,4.01,9.0,0.0,540.0
Crauti alla Tirolese,235.0,13.9,8.2,15.6,4.96,2.4,31.0,1476.0
Insalata gratinata di radicchio nocciole e scamorza,246.0,2.9,2.9,22.1,4.59,4.6,20.0,343.0
Polpettine di carciofi con cuore filante,84.0,6.4,0.8,5.2,1.2,2.1,18.0,148.0
Insalata primavera con verdure e formaggi,594.0,34.3,19.0,32.0,15.37,8.6,94.0,1133.0
Patate ripiene di nonna Franca,189.0,20.2,2.6,8.2,2.5,2.5,17.0,353.0
Porri al prosciutto,290.0,8.8,5.0,22.2,11.6,1.8,73.0,1030.0
Insalata di spinaci con patate salmone e feta,585.0,25.7,5.5,35.6,15.16,4.6,96.0,1604.0
Insalata di broccolicavolfiori e indivia belga,178.0,6.5,6.0,14.8,2.31,3.7,0.0,309.0
Verdure al forno facili,,,,,,,,
Radicchio al forno,380.0,2.9,2.9,39.8,13.28,5.3,38.0,308.0
Cavolfiore in padella,,,,,,,,
Insalatina con fragole al balsamico,241.0,4.9,4.9,20.1,6.24,1.5,27.0,382.0
Verdure in padella,,,,,,,,
Carote speziate,117.0,14.4,14.4,5.6,0.92,6.7,0.0,408.0
Parmigiana di carciofi,688.0,23.1,3.3,54.4,15.09,7.9,56.0,608.0
Insalata croccante,192.0,11.8,5.2,10.8,4.62,4.1,24.0,549.0
Finocchi gratinati in padella,137.0,9.7,4.0,9.4,1.35,6.3,0.0,570.0
Barba di frate alle acciughe,117.0,2.9,2.9,10.0,1.51,2.8,6.0,214.0
Spadellata di scorze di fave,337.0,21.2,2.2,16.0,2.32,25.5,0.0,286.0
Patate dolci al forno,,,,,,,,
Pannocchia al cartoccio,118.0,20.6,2.6,2.2,0.28,4.1,0.0,591.0
Insalata di fagioli misti e zucca,395.0,40.2,8.4,17.6,2.22,13.1,0.0,313.0
Patatine novelle caramellate,273.0,40.6,9.4,10.5,6.1,2.9,31.0,446.0
Nidi di patate con lenticchie e cotechino,995.0,83.7,8.2,52.0,19.8,16.2,326.0,1569.0
Insalata con scamorza e verdure grigliate,428.0,15.3,15.2,30.2,12.89,8.7,76.0,857.0
Cipolle gratinate,,,,,,,,
Flan di topinambur,346.0,48.9,20.0,12.1,2.5,4.7,139.0,360.0
Chips di zucchine croccanti,,,,,,,,
Patate in tecia,,,,,,,,
Pomodori verdi fritti,493.0,39.7,8.3,33.2,4.98,2.4,102.0,341.0
Patate in padella,,,,,,,,
Pure di patate,,,,,,,,
Pure di cavolfiore,345.0,44.3,7.1,11.8,3.29,9.1,11.0,888.0
Cavolfiore in pastella,618.0,29.5,4.7,50.8,9.84,7.2,0.0,517.0
Insalata di sedano e peperoni,396.0,58.6,6.4,13.7,1.86,5.0,0.0,890.0
Pure di patate cremoso,284.0,22.4,2.6,19.8,7.61,1.9,35.0,321.0
Insalata di aringa affumicata,358.0,25.6,11.0,19.9,5.73,2.8,63.0,934.0
Fagiolini in umido alla contadina,,,,,,,,
Sformato di patate,293.0,31.6,3.1,12.3,5.86,4.2,95.0,647.0
Spicchi di patate al forno con pancetta,356.0,38.9,2.3,18.4,3.95,4.0,16.0,762.0
Rose di patate e bacon,,,,,,,,
Indivia belga gratinata,135.0,12.1,3.8,7.6,2.22,2.8,7.0,432.0
Fave alla menta,298.0,3.3,0.9,24.7,5.86,3.6,33.0,1120.0
Finocchi gratinati alle mandorle,228.0,12.6,3.2,14.2,5.17,5.7,34.0,948.0
Melanzane al forno con patate,136.0,9.5,2.7,7.9,3.6,2.5,18.0,210.0
Insalata di cavolo cappuccio,442.0,46.8,22.9,17.6,6.97,10.5,27.0,2460.0
Jacket potatoes,462.0,54.3,1.5,19.3,8.05,4.8,44.0,491.0
Kimchi,,,,,,,,
Sformatini di carciofi con salsa al Parmigiano,305.0,8.4,4.8,23.0,11.18,4.9,160.0,812.0
Patate alla birra,233.0,29.6,1.4,10.1,5.24,2.8,25.0,211.0
Yorkshire pudding,201.0,13.8,1.1,14.1,2.55,0.4,76.0,101.0
Patate e peperoni cruschi,315.0,43.2,11.6,12.5,1.9,5.9,0.0,504.0
Terrina millegusti,356.0,31.2,4.3,18.2,8.66,3.6,106.0,569.0
Carciofi e patate,273.0,24.8,3.8,16.6,2.51,9.6,0.0,482.0
Zucca saltata al rosmarino e vino bianco,132.0,7.9,6.0,8.3,1.32,1.4,0.0,490.0
Cipolle ripiene,134.0,7.7,5.8,9.9,3.5,2.1,15.0,249.0
Barchette di patate con cheddar e pancetta,,,,,,,,
Melanzane e cipolle al forno,87.0,5.1,5.1,6.4,0.93,4.0,0.0,226.0
Crema di fagioli ( frijoles refritos),362.0,28.0,4.2,22.3,12.436,8.9,62.0,302.0
Germogli di soia saltati,83.0,4.5,3.6,4.0,0.54,1.3,0.0,591.0
Sformati di broccoli con salsa al caprino,161.0,4.9,4.9,11.4,6.51,3.2,76.0,633.0
Insalata di carciofi,198.0,2.9,2.4,18.1,3.99,5.0,11.0,481.0
Cicoria in padella,96.0,1.8,1.7,8.5,1.27,8.1,0.0,327.0
Insalata di lenticchie con pancetta e verdure,455.0,49.0,4.8,18.8,2.69,13.0,0.0,415.0
Patatine fritte alla belga,855.0,37.7,0.8,76.1,32.17,3.3,71.0,1486.0
Fiocchi di latte,93.0,13.0,13.0,0.5,0.36,0.0,5.0,711.0
Insalata di rinforzo,207.0,5.1,4.6,16.7,2.48,5.4,16.0,760.0
Ceci al pomodoro,327.0,44.2,6.2,7.9,1.09,11.8,0.0,308.0
Insalata Waldorf,439.0,16.1,15.9,38.4,6.17,3.6,33.0,530.0
Spinaci alla romana,458.0,26.8,20.3,32.3,13.89,6.8,62.0,265.0
Torrette di patate arrosto,120.0,9.4,0.4,8.7,1.29,0.9,0.0,171.0
Broccoli affogati,372.0,6.0,6.0,28.4,9.32,5.6,47.0,1102.0
Fagiolini fritti,,,,,,,,
Zuccotto di melanzane,575.0,30.6,5.9,46.7,9.67,4.7,7.0,3380.0
Fagiolini all'aglio e mollica croccante,170.0,14.4,4.4,10.2,1.5,5.8,0.0,595.0
Topinambur trifolati,197.0,26.1,14.6,8.7,1.28,3.9,0.0,328.0
Patate alla savoiarda,474.0,39.6,2.9,27.2,14.59,3.3,76.0,572.0
Cavoletti di Bruxelles in padella,244.0,4.8,3.7,19.4,3.65,5.1,27.0,990.0
Patate sabbiose,321.0,50.5,2.1,10.5,1.67,4.4,0.0,432.0
Carciofi trifolati,122.0,3.5,2.8,10.3,1.52,7.4,0.0,664.0
Scarola affogata,89.0,3.9,3.8,7.5,1.1,2.5,0.0,721.0
Pomodori  gratinati alla pugliese,118.0,16.3,5.9,3.8,0.6,2.2,6.0,438.0
Insalata di patate e zucchine,,,,,,,,
Fagiolini sabbiosi con pomodorini,,,,,,,,
Funghi fritti,871.0,60.3,3.0,64.3,12.49,7.2,0.0,615.0
Zucca gratinata,172.0,15.8,5.9,10.0,2.27,1.9,5.0,418.0
Vignarola,176.0,12.4,6.4,8.6,1.27,9.7,0.0,581.0
Ciambotta,208.0,27.8,14.9,7.7,1.13,8.8,0.0,524.0
Peperoni sott'olio,121.0,4.5,4.4,11.1,0.93,0.8,0.0,112.0
Insalata di cetrioli,129.0,5.3,4.9,10.4,2.47,1.6,4.0,343.0
Patate alla lionese,311.0,41.1,14.4,13.7,7.08,3.9,34.0,320.0
Insalata con tonno mozzarella e peperoni,414.0,7.3,7.1,32.4,9.18,2.3,55.0,593.0
Insalata di anguria,335.0,12.3,10.6,26.4,3.51,4.9,16.0,580.0
Insalata di puntarelle alla romana,114.0,5.4,5.0,8.6,1.37,5.0,4.0,340.0
Bandiera,143.0,14.2,14.1,8.2,1.21,3.2,0.0,537.0
Patate al forno con la buccia,337.0,40.6,1.7,17.2,2.62,3.7,0.0,347.0
Rosti light,116.0,22.2,1.2,1.9,0.36,2.2,0.0,499.0
Peperoni in agrodolce,186.0,14.7,9.3,10.6,2.04,0.6,18.0,67.0
Insalata di fave,185.0,6.0,0.7,13.2,3.24,7.2,10.0,412.0
Teglia di patate arrosto,228.0,36.6,1.3,7.2,2.04,3.4,6.0,261.0
Melanzane gratinate,,,,,,,,
Piselli stufati con pancetta,,,,,,,,
Insalata di fagiolini carote mais e tonno,205.0,18.9,12.5,6.2,1.15,7.4,36.0,845.0
Patate al cartoccio bavaresi,263.0,33.8,3.0,11.8,6.18,3.1,33.0,325.0
Insalata di borlotti freschi,156.0,15.5,3.4,8.1,1.21,8.4,0.0,299.0
Zucchine al forno,161.0,22.1,3.3,5.7,0.87,3.4,0.0,1174.0
Carciofi alla giudia,492.0,5.0,3.8,50.1,6.68,10.9,0.0,850.0
Peperoncini piccanti ripieni di tonno alici e capperi,68.0,2.3,1.3,3.5,0.57,1.2,7.0,171.0
Cipolle di Tropea al forno,106.0,13.2,9.1,4.9,0.73,2.0,0.0,277.0
Cipolline in agrodolce,79.0,18.9,18.9,0.1,0.01,0.8,0.0,284.0
Insalata di patate e cetrioli,438.0,40.2,12.8,26.2,6.04,6.7,14.0,608.0
Insalata di rucola pere grana e noci,281.0,6.9,6.6,23.2,6.16,2.5,27.0,473.0
Funghi porcini trifolati,144.0,3.0,2.6,11.3,1.72,5.7,0.0,293.0
Patate alla mediterranea,,,,,,,,
Patate e peperoni,430.0,35.6,7.4,29.9,4.42,3.8,0.0,52.0
Cipolle al forno,144.0,17.9,12.3,6.7,0.99,2.7,0.0,375.0
Patatine novelle al rosmarino,238.0,29.5,1.3,11.8,1.8,2.8,0.0,12.0
Patate 'mpacchiuse,316.0,36.6,3.6,16.9,2.53,3.5,0.0,313.0
Insalata di lenticchie pomodori e cipollotti,336.0,36.2,3.5,13.9,1.99,9.6,0.0,307.0
Carote al latte,196.0,22.9,19.1,9.2,5.41,6.5,27.0,227.0
Bocconcini di patate formaggio e pancetta,409.0,16.7,1.1,29.8,10.4,1.4,64.0,892.0
Zucchine in carpione,412.0,2.2,2.1,40.7,7.77,1.35,0.0,1931.0
Tortino di patate,181.0,15.3,1.1,8.3,2.15,1.7,72.0,757.0
Lenticchie saporite agli aromi,414.0,47.0,3.3,13.5,2.6,11.9,9.0,780.0
Insalata di fagioli alla romana,191.0,9.1,2.9,13.7,2.08,8.6,11.0,715.0
Patate hasselback,536.0,59.7,4.6,24.3,8.75,6.1,41.0,581.0
Flan di spinaci e taleggio,464.0,7.6,4.4,34.0,15.84,2.7,281.0,1224.0
Riso pilaf,445.0,66.5,6.6,16.9,8.98,4.7,44.0,125.0
Carciofi alla romana,205.0,2.9,2.4,20.3,2.96,5.8,0.0,411.0
Insalata nizzarda,,,,,,,,
Patatas bravas,306.0,39.0,2.2,14.5,2.21,4.1,0.0,314.0
Verza e patate,274.0,33.8,5.5,10.5,2.79,6.7,10.0,387.0
Carciofi al gratin,194.0,11.9,2.1,13.2,3.26,5.6,10.0,687.0
Insalata con gamberi nell'ananas,158.0,18.6,18.6,4.6,0.69,3.2,90.0,391.0
Patate fritte,586.0,28.5,0.6,50.9,6.85,2.5,0.0,982.0
Fagiolini alla pugliese,161.0,9.3,9.2,10.8,1.58,8.1,0.0,311.0
Carpaccio di melanzane,370.0,5.3,5.3,37.7,5.47,5.1,0.0,339.0
Zucca al forno,221.0,6.7,4.8,20.4,2.92,1.7,0.0,150.0
Piattoni al pomodoro,90.0,5.1,5.1,6.5,0.95,3.7,0.0,301.0
Melanzane in agrodolce,167.0,16.1,16.1,10.3,1.51,5.6,0.0,348.0
Fagioli all'uccelletto,313.0,41.0,5.3,8.4,1.39,13.7,0.0,299.0
Insalata pantesca,,,,,,,,
Finocchi gratinati,247.0,11.1,5.4,19.0,11.3,3.3,57.0,570.0
Verdure grigliate,78.0,13.6,13.3,0.8,0.12,5.6,0.0,375.0
Insalata di cavolo e carote (coleslaw),112.0,9.8,9.4,6.0,0.86,5.0,6.0,409.0
Insalata di fagiolini,247.0,5.6,4.9,23.3,3.52,3.1,4.0,373.0
Zucchine in agrodolce,461.0,43.7,43.5,30.3,4.43,3.6,0.0,14.0
Insalata di ceci gamberi e rucola,233.0,10.2,6.7,10.6,1.56,6.0,201.0,700.0
Caesar salad,535.0,30.2,4.1,39.2,9.63,4.2,75.0,747.0
Insalata di patate,223.0,31.0,2.5,8.5,1.64,3.2,9.0,356.0
Cavolfiori gratinati,209.0,12.9,8.6,11.9,6.98,5.0,35.0,395.0
Zucchine trifolate,114.0,2.8,2.6,10.3,1.5,2.7,0.0,499.0
Insalata di finocchi e arance,245.0,11.6,11.2,19.4,2.83,4.6,0.0,470.0
Patate duchessa,107.0,7.3,0.3,7.2,3.87,0.7,70.0,33.0
Polpettone alla ligure,406.0,44.3,3.7,16.4,8.02,6.0,167.0,460.0
Broccoli gratinati,241.0,18.8,11.1,13.3,7.7,4.4,40.0,412.0
Funghi trifolati,196.0,2.6,2.2,17.5,5.36,4.7,19.0,93.0
Ratatouille,162.0,8.7,8.6,12.8,1.86,4.4,0.0,326.0
Pure di patate,284.0,37.2,3.1,11.4,6.07,3.2,29.0,350.0
Verdure al forno,173.0,13.2,4.3,11.3,2.75,3.0,9.0,413.0
Pasta alla Norma,,,,,,,,
Grilled cheese sandwich,,,,,,,,
Omelette con stracchino e prosciutto cotto,310.0,0.4,0.4,25.4,12.43,0.1,368.0,575.0
Croque madame,300.0,14.5,1.3,20.0,10.42,0.7,247.0,600.0
Onigiri,192.0,35.2,0.2,3.3,0.73,0.6,7.0,131.0
Insalata sette strati,290.0,5.4,3.7,21.6,7.27,4.8,279.0,877.0
Pomodori ripieni,401.0,55.3,12.4,12.7,5.88,4.0,34.0,524.0
Polpette in insalata,,,,,,,,
Polenta e fagioli,504.0,80.3,7.4,9.5,1.52,16.4,0.0,404.0
Ossobuco alla milanese con risotto giallo,,,,,,,,
Torta di patate con cuore al ragu di cotechino,671.0,41.2,3.9,43.2,16.07,4.6,178.0,1514.0
